Gene	sgRNA	eff
Phatr3_J43016	Phatr3_J43016_2120	1
Phatr3_J43016	Phatr3_J43016_2735	1
Phatr3_J43016	Phatr3_J43016_346	1
Phatr3_J43016	Phatr3_J43016_3154	1
Phatr3_J43016	Phatr3_J43016_462	1
Phatr3_J43016	Phatr3_J43016_1594	1
Phatr3_J43016	Phatr3_J43016_1785	1
Phatr3_J43016	Phatr3_J43016_987	1
Phatr3_J43016	Phatr3_J43016_1390	1
Phatr3_J43016	Phatr3_J43016_2198	1
Phatr3_J43016	Phatr3_J43016_2440	1
Phatr3_J43016	Phatr3_J43016_1005	1
Phatr3_J43016	Phatr3_J43016_2416	1
Phatr3_J43016	Phatr3_J43016_2174	1
Phatr3_J43016	Phatr3_J43016_1903	1
Phatr3_J43016	Phatr3_J43016_3271	1
Phatr3_J43016	Phatr3_J43016_102	1
Phatr3_J43016	Phatr3_J43016_1506	1
Phatr3_J43016	Phatr3_J43016_913	1
Phatr3_J43016	Phatr3_J43016_2825	1
Phatr3_J43016	Phatr3_J43016_1902	1
Phatr3_J43016	Phatr3_J43016_2937	1
Phatr3_J43016	Phatr3_J43016_545	1
Phatr3_J43016	Phatr3_J43016_2092	1
Phatr3_J43016	Phatr3_J43016_1507	1
Phatr3_J43016	Phatr3_J43016_1400	1
Phatr3_J43016	Phatr3_J43016_2303	1
Phatr3_J43016	Phatr3_J43016_3610	1
Phatr3_J43016	Phatr3_J43016_593	1
Phatr3_J43016	Phatr3_J43016_73	1
Phatr3_J43016	Phatr3_J43016_66	1
Phatr3_J43016	Phatr3_J43016_2361	1
Phatr3_J43016	Phatr3_J43016_3394	1
Phatr3_J43016	Phatr3_J43016_930	1
Phatr3_J43016	Phatr3_J43016_1022	1
Phatr3_J43016	Phatr3_J43016_1369	1
Phatr3_J43016	Phatr3_J43016_1155	1
Phatr3_J43016	Phatr3_J43016_2353	1
Phatr3_J43016	Phatr3_J43016_81	1
Phatr3_J43016	Phatr3_J43016_1609	1
Phatr3_J43016	Phatr3_J43016_530	1
Phatr3_J43016	Phatr3_J43016_115	1
Phatr3_J43016	Phatr3_J43016_443	1
Phatr3_J43016	Phatr3_J43016_71	1
Phatr3_J43016	Phatr3_J43016_3583	1
Phatr3_J43016	Phatr3_J43016_3266	1
Phatr3_J43016	Phatr3_J43016_2227	1
Phatr3_J43016	Phatr3_J43016_1736	1
Phatr3_J43016	Phatr3_J43016_2238	1
Phatr3_J43016	Phatr3_J43016_2633	1
Phatr3_J43016	Phatr3_J43016_420	1
Phatr3_J43016	Phatr3_J43016_3347	1
Phatr3_J43016	Phatr3_J43016_3047	1
Phatr3_J43016	Phatr3_J43016_276	1
Phatr3_J43016	Phatr3_J43016_1572	1
Phatr3_J43016	Phatr3_J43016_3323	1
Phatr3_J43016	Phatr3_J43016_2338	1
Phatr3_J43016	Phatr3_J43016_2634	1
Phatr3_J43016	Phatr3_J43016_1099	1
Phatr3_J43016	Phatr3_J43016_2700	1
Phatr3_J43016	Phatr3_J43016_1720	1
Phatr3_J43016	Phatr3_J43016_1439	1
Phatr3_J43016	Phatr3_J43016_1483	1
Phatr3_J43016	Phatr3_J43016_70	1
Phatr3_J43016	Phatr3_J43016_1418	1
Phatr3_J43016	Phatr3_J43016_3290	1
Phatr3_J43016	Phatr3_J43016_1332	1
Phatr3_J43016	Phatr3_J43016_2591	1
Phatr3_J43016	Phatr3_J43016_1250	1
Phatr3_J43016	Phatr3_J43016_72	1
Phatr3_J43016	Phatr3_J43016_1979	1
Phatr3_J43016	Phatr3_J43016_2468	1
Phatr3_J43016	Phatr3_J43016_1860	1
Phatr3_J43016	Phatr3_J43016_626	1
Phatr3_J43016	Phatr3_J43016_554	1
Phatr3_J43016	Phatr3_J43016_2941	1
Phatr3_J43016	Phatr3_J43016_1932	1
Phatr3_J43016	Phatr3_J43016_1600	1
Phatr3_J43016	Phatr3_J43016_1856	1
Phatr3_J43016	Phatr3_J43016_378	1
Phatr3_J43016	Phatr3_J43016_429	1
Phatr3_J43016	Phatr3_J43016_1514	1
Phatr3_J43016	Phatr3_J43016_2578	1
Phatr3_J43016	Phatr3_J43016_2372	1
