Gene_ID,Comparison,Delta_Beta,FDR,Significance_Tier
Phatr3_J10617,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8732583333333328,9.114879221059078e-05,Tier 1 (Hard)
Phatr3_J31429,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8643136666666664,0.0001016267168695,Tier 1 (Hard)
Phatr3_J46109,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8638990666666668,0.0001016267168695,Tier 1 (Hard)
Phatr3_J41417,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8614593333333336,0.0001042189021885,Tier 1 (Hard)
Phatr3_J36733,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8598593333333333,0.0001057196066306,Tier 1 (Hard)
Phatr3_J50160,t1_Fe_deplete_vs_t1_Mn_deplete,-1.85184,0.0001165368517597,Tier 1 (Hard)
Phatr3_J54981,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8469133333333336,0.0001233974221468,Tier 1 (Hard)
Phatr3_EG00876,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8442253333333332,0.0001269370052885,Tier 1 (Hard)
Phatr3_EG01261,t1_Mn_deplete_vs_t1_Fe_deplete,-1.8405333333333331,0.0001322732947911,Tier 1 (Hard)
Phatr3_J10024,t1_Fe_deplete_vs_t1_Mn_deplete,-1.838571,0.0001348017573108,Tier 1 (Hard)
Phatr3_J46863,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8378700000000003,0.0001351752988523,Tier 1 (Hard)
Phatr3_J32119,t1_Fe_deplete_vs_t1_Mn_deplete,-1.836199333333333,0.0001372510429155,Tier 1 (Hard)
Phatr3_J49102,t1_Fe_deplete_vs_t1_Mn_deplete,-1.83443,0.0001389180477189,Tier 1 (Hard)
Phatr3_Jdraft1241,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8343,0.0001389180477189,Tier 1 (Hard)
Phatr3_J19314,t1_Fe_deplete_vs_t1_Mn_deplete,-1.828171,0.0001493358186029,Tier 1 (Hard)
Phatr3_J11189,t1_Fe_deplete_vs_t1_Mn_deplete,-1.8262866666666668,0.0001520497604992,Tier 1 (Hard)
Phatr3_J49185,t1_Fe_deplete_vs_t1_Mn_deplete,-1.81332,0.0001782330731111,Tier 1 (Hard)
